Number of keypoints: 545
Keypoint no 0: 4.54157
Keypoint no 1: 5.5278
Keypoint no 2: 5.85983
Keypoint no 3: 6.60061
Keypoint no 4: 6.69679
Keypoint no 5: 6.7379
Keypoint no 6: 6.82304
Keypoint no 7: 6.94871
Keypoint no 8: 7.01752
Keypoint no 9: 7.15417
Keypoint no 10: 7.18197
Keypoint no 11: 7.28996
Keypoint no 12: 7.30635
Keypoint no 13: 7.31719
Keypoint no 14: 7.43714
Keypoint no 15: 7.48352
Keypoint no 16: 7.59692
Keypoint no 17: 7.64937
Keypoint no 18: 7.65631
Keypoint no 19: 7.73319
Keypoint no 20: 7.77659
Keypoint no 21: 7.83529
Keypoint no 22: 7.88458
Keypoint no 23: 7.91705
Keypoint no 24: 7.92119
Keypoint no 25: 7.97745
Keypoint no 26: 7.9849
Keypoint no 27: 8.00715
Keypoint no 28: 8.02766
Keypoint no 29: 8.10372
Keypoint no 30: 8.10743
Keypoint no 31: 8.12663
Keypoint no 32: 8.13828
Keypoint no 33: 8.14911
Keypoint no 34: 8.21332
Keypoint no 35: 8.21996
Keypoint no 36: 8.25901
Keypoint no 37: 8.28536
Keypoint no 38: 8.35579
Keypoint no 39: 8.36456
Keypoint no 40: 8.49895
Keypoint no 41: 8.56578
Keypoint no 42: 8.59127
Keypoint no 43: 8.70454
Keypoint no 44: 8.71789
Keypoint no 45: 8.75134
Keypoint no 46: 8.78605
Keypoint no 47: 8.79441
Keypoint no 48: 8.80366
Keypoint no 49: 8.80932
Keypoint no 50: 8.93282
Keypoint no 51: 8.94551
Keypoint no 52: 9.08314
Keypoint no 53: 9.10643
Keypoint no 54: 9.13902
Keypoint no 55: 9.15491
Keypoint no 56: 9.18379
Keypoint no 57: 9.21943
Keypoint no 58: 9.25348
Keypoint no 59: 9.25662
Keypoint no 60: 9.2657
Keypoint no 61: 9.33338
Keypoint no 62: 9.34868
Keypoint no 63: 9.39034
Keypoint no 64: 9.4808
Keypoint no 65: 9.52507
Keypoint no 66: 9.5917
Keypoint no 67: 9.59186
Keypoint no 68: 9.62042
Keypoint no 69: 9.6333
Keypoint no 70: 9.64101
Keypoint no 71: 9.64958
Keypoint no 72: 9.69397
Keypoint no 73: 9.74737
Keypoint no 74: 9.79466
Keypoint no 75: 9.81338
Keypoint no 76: 9.81771
Keypoint no 77: 9.84769
Keypoint no 78: 9.87674
Keypoint no 79: 9.89275
Keypoint no 80: 9.9123
Keypoint no 81: 9.96865
Keypoint no 82: 9.99946
Keypoint no 83: 10.0345
Keypoint no 84: 10.0746
Keypoint no 85: 10.0909
Keypoint no 86: 10.0992
Keypoint no 87: 10.1131
Keypoint no 88: 10.1492
Keypoint no 89: 10.1828
Keypoint no 90: 10.2409
Keypoint no 91: 10.2634
Keypoint no 92: 10.2819
Keypoint no 93: 10.4103
Keypoint no 94: 10.4141
Keypoint no 95: 10.4636
Keypoint no 96: 10.5158
Keypoint no 97: 10.5244
Keypoint no 98: 10.5504
Keypoint no 99: 10.5629
Keypoint no 100: 10.5908
Keypoint no 101: 10.6117
Keypoint no 102: 10.656
Keypoint no 103: 10.6957
Keypoint no 104: 10.703
Keypoint no 105: 10.8574
Keypoint no 106: 10.8603
Keypoint no 107: 10.878
Keypoint no 108: 10.8794
Keypoint no 109: 10.9278
Keypoint no 110: 10.9745
Keypoint no 111: 10.9781
Keypoint no 112: 10.9882
Keypoint no 113: 11.0014
Keypoint no 114: 11.1938
Keypoint no 115: 11.2221
Keypoint no 116: 11.2286
Keypoint no 117: 11.2424
Keypoint no 118: 11.3124
Keypoint no 119: 11.3138
Keypoint no 120: 11.3194
Keypoint no 121: 11.3377
Keypoint no 122: 11.3431
Keypoint no 123: 11.4499
Keypoint no 124: 11.4741
Keypoint no 125: 11.5215
Keypoint no 126: 11.5539
Keypoint no 127: 11.5611
Keypoint no 128: 11.5901
Keypoint no 129: 11.6217
Keypoint no 130: 11.6526
Keypoint no 131: 11.7192
Keypoint no 132: 11.7222
Keypoint no 133: 11.7575
Keypoint no 134: 11.7675
Keypoint no 135: 11.8406
Keypoint no 136: 11.8441
Keypoint no 137: 11.8475
Keypoint no 138: 11.8557
Keypoint no 139: 11.8651
Keypoint no 140: 11.9296
Keypoint no 141: 11.9959
Keypoint no 142: 12.0293
Keypoint no 143: 12.0392
Keypoint no 144: 12.0511
Keypoint no 145: 12.0657
Keypoint no 146: 12.0765
Keypoint no 147: 12.1037
Keypoint no 148: 12.1841
Keypoint no 149: 12.2018
Keypoint no 150: 12.2551
Keypoint no 151: 12.262
Keypoint no 152: 12.2763
Keypoint no 153: 12.2959
Keypoint no 154: 12.3304
Keypoint no 155: 12.3522
Keypoint no 156: 12.3679
Keypoint no 157: 12.3696
Keypoint no 158: 12.3751
Keypoint no 159: 12.3932
Keypoint no 160: 12.5225
Keypoint no 161: 12.5231
Keypoint no 162: 12.5396
Keypoint no 163: 12.5522
Keypoint no 164: 12.5919
Keypoint no 165: 12.5946
Keypoint no 166: 12.614
Keypoint no 167: 12.6404
Keypoint no 168: 12.6578
Keypoint no 169: 12.6919
Keypoint no 170: 12.8253
Keypoint no 171: 12.8379
Keypoint no 172: 12.8618
Keypoint no 173: 12.9078
Keypoint no 174: 12.9602
Keypoint no 175: 12.9901
Keypoint no 176: 13.0272
Keypoint no 177: 13.0376
Keypoint no 178: 13.0457
Keypoint no 179: 13.091
Keypoint no 180: 13.0956
Keypoint no 181: 13.1014
Keypoint no 182: 13.1201
Keypoint no 183: 13.1231
Keypoint no 184: 13.1301
Keypoint no 185: 13.1344
Keypoint no 186: 13.1458
Keypoint no 187: 13.1745
Keypoint no 188: 13.2278
Keypoint no 189: 13.2657
Keypoint no 190: 13.2898
Keypoint no 191: 13.296
Keypoint no 192: 13.3248
Keypoint no 193: 13.3539
Keypoint no 194: 13.358
Keypoint no 195: 13.3707
Keypoint no 196: 13.3907
Keypoint no 197: 13.4158
Keypoint no 198: 13.4699
Keypoint no 199: 13.5134
