@RELATION lines

@ATTRIBUTE rho REAL
@ATTRIBUTE theta REAL
@ATTRIBUTE length REAL

@DATA
857.707437,-0.301048,2548.208056
842.079969,-0.302774,2569.644980
806.475286,-0.306689,2603.441837
934.712302,-0.292649,2450.281926
844.243077,-0.302493,2524.275231
903.212504,-0.296053,2544.099845
945.707572,-0.292003,2439.213035
817.291393,-0.305622,2575.183768
852.153458,-0.301873,2602.581864
893.495626,-0.296953,2594.833059
897.845066,-0.295988,2594.341201
656.064766,-0.323799,2598.056112
1392.860977,-0.240814,2535.459746
956.026251,-0.289861,2537.656640
3476.246990,1.568312,12.183509
972.489520,-0.288415,2550.144762
972.403720,-0.288434,2549.631291
762.996086,-0.311702,2518.603613
1384.458145,-0.242032,2533.614906
764.969862,-0.310776,2520.411946
1254.318663,-0.257002,2605.288736
792.874331,-0.308603,2596.516874
908.312192,-0.295820,2559.761350
673.569131,-0.321316,2598.532776
993.980387,-0.285840,2549.851003
995.067131,-0.285603,2550.513508
1205.257121,-0.262248,2392.946375
707.617193,-0.317918,2549.108201
1315.794810,-0.249780,2564.985146
1317.441670,-0.248932,2564.187075
1333.224554,-0.247947,2568.035062
674.276267,-0.321653,2616.567563
1219.364840,-0.260762,2510.935646
808.393911,-0.306710,2539.476367
630.635562,-0.326598,2587.813041
816.395705,-0.305728,2536.063174
799.271944,-0.307532,2530.849149
809.272753,-0.306286,2538.280487
1204.270259,-0.262452,2392.745838
2444.925733,0.326894,403.307953
709.106049,-0.317750,2551.488589
709.138661,-0.317734,2550.868181
990.258277,-0.286371,2535.470533
799.948056,-0.307587,2531.476030
832.630288,-0.304355,2598.391361
1231.180422,-0.259390,2601.169085
497.322591,-0.455807,14.412054
1010.701965,-0.284053,2552.632254
1152.110435,-0.268199,2570.809042
1479.738838,-0.024353,2637.544757
1481.772240,-0.024265,2639.920193
1027.570568,-0.282319,2544.738887
1314.870780,-0.249615,2531.556918
1265.958676,-0.255402,2593.029976
1307.169434,-0.250755,2521.307321
1174.810835,-0.265318,2584.682964
1173.367061,-0.265639,2584.990822
960.746405,1.624387,30.808513
1150.373176,-0.268425,2369.490401
1210.225727,-0.261837,2588.683296
1153.573957,-0.268060,2576.748307
1092.267409,-0.275062,2577.608702
567.128645,-0.333576,2576.300578
1209.889200,-0.262014,2589.594579
990.318077,-0.286401,2542.314154
1302.542234,-0.251105,2517.185905
3719.975668,1.541282,14.759114
839.294504,-0.303271,2586.144002
1266.368025,-0.255428,2578.194104
828.598371,-0.304406,2589.966030
828.573728,-0.304419,2590.089003
1157.274096,-0.267624,2584.159125
1035.271926,-0.280159,2631.633623
1156.794404,-0.267875,2584.059992
3370.044623,1.547588,48.941647
1221.925421,-0.260365,2390.277895
1218.847623,-0.261004,2389.609803
1679.428897,0.222239,11.406505
367.000723,-0.355917,2484.618822
1210.599821,-0.261394,2388.620896
1210.057654,-0.261506,2388.372739
1174.275648,2.047254,15.278140
1590.197011,2.202358,13.859728
1518.864629,-0.226953,2569.430325
