@RELATION lines

@ATTRIBUTE rho REAL
@ATTRIBUTE theta REAL
@ATTRIBUTE length REAL

@DATA
1860.320457,2.231975,198.800105
864.905381,-0.769552,260.325317
1886.214805,2.230443,198.693084
1860.320457,2.231975,198.800105
900.049457,-0.769013,259.873668
490.947434,2.019800,613.311222
490.947434,2.019800,613.311222
840.710846,-0.767907,260.613636
872.792027,-0.769448,260.395848
872.792027,-0.769448,260.395848
864.905381,-0.769552,260.325317
1868.006647,2.231542,198.756409
1868.006647,2.231542,198.756409
840.710846,-0.767907,260.613636
1886.214805,2.230443,198.693084
535.509441,2.019077,613.655073
534.849782,2.019219,613.649651
1836.272430,2.231504,199.004262
1873.087096,2.231902,198.837062
1836.272430,2.231504,199.004262
1873.087096,2.231902,198.837062
534.849782,2.019219,613.649651
535.509441,2.019077,613.655073
862.017837,-0.769617,260.143418
491.533191,2.019316,613.703395
491.533191,2.019316,613.703395
862.017837,-0.769617,260.143418
493.308000,2.019361,613.590125
493.308000,2.019361,613.590125
