@RELATION lines

@ATTRIBUTE rho REAL
@ATTRIBUTE theta REAL
@ATTRIBUTE length REAL

@DATA
274.665195,1.626860,196.308431
647.063412,0.023114,28.690799
339.702415,1.620506,396.605333
210.725611,1.627257,196.311963
210.119998,1.627584,196.242763
80.492592,1.627918,97.665822
69.370605,1.621782,101.555659
97.347676,1.636402,197.102154
185.066225,1.625782,196.108095
883.327831,1.291709,18.430727
159.402113,1.626892,196.286835
76.153030,1.626468,196.184524
337.431319,1.627471,196.399532
205.281199,0.029533,61.323066
362.585651,1.608064,195.824753
259.590423,1.604484,199.454596
206.077137,1.622220,395.027837
359.516893,1.610768,399.323112
365.042668,1.615905,400.550147
326.918923,1.548600,400.637202
357.668267,1.616038,399.530360
363.715287,1.618753,401.039931
244.298458,1.615893,397.568721
237.203444,1.614752,395.019458
