@relation lines_clustered

@attribute rho numeric
@attribute theta numeric
@attribute length numeric
@attribute Cluster {cluster0, cluster1}

@data
356.678933,-0.277445,854.633587,cluster0
308.618081,-0.293424,845.017225,cluster0
1040.546555,0.613824,337.574711,cluster1
391.103691,-0.117305,676.143554,cluster0
982.708844,0.551418,16.482771,cluster1
476.514489,1.516443,11.786999,cluster1
218.733326,2.402831,105.022828,cluster1
308.618081,-0.293424,845.017225,cluster0
290.15866,-0.096425,11.925453,cluster1
228.68956,-0.172131,19.38393,cluster1
1398.111903,0.068927,10.346039,cluster1
1815.871734,2.0077,84.683142,cluster1
1642.813782,1.744798,11.657041,cluster1
1271.706403,-0.30595,858.578551,cluster0
1414.235708,-0.07647,558.284226,cluster0
1728.968433,0.435962,26.194908,cluster1
1192.954094,-0.333425,857.047824,cluster0
1211.024568,-0.325563,865.465953,cluster0
1212.857095,-0.325406,861.18703,cluster0
1180.774696,1.550805,34.390417,cluster1
2526.276046,-0.044857,247.825395,cluster1
2531.677186,-0.062785,570.304043,cluster0
21467.581057,0.695819,11.354574,cluster1
2208.55636,-0.327396,864.484784,cluster0
2575.636169,0.071207,566.480762,cluster0
2232.781291,-0.168189,10.651456,cluster1
2190.463473,-0.219493,18.164377,cluster1
2213.835351,-0.323915,860.243254,cluster0
2208.55636,-0.327396,864.484784,cluster0
2350.513955,-0.280022,848.0922,cluster0
3236.650793,-0.316463,853.022001,cluster0
31118.704046,0.725765,261.919513,cluster1
3306.74863,1.668926,73.191619,cluster1
31065.320075,0.426305,12.53872,cluster1
3264.378366,-0.308293,864.988738,cluster0
3815.871734,2.0077,84.683142,cluster1
3366.220597,-0.274552,862.868962,cluster0
31176.581576,1.422197,14.872399,cluster1
3445.539298,-0.247624,863.827062,cluster0
3271.706403,-0.30595,858.578551,cluster0
4315.14513,2.452343,339.570654,cluster1
4380.06985,-0.269904,850.172921,cluster0
4306.74863,1.668926,73.191619,cluster1
4367.056934,-0.273971,866.524263,cluster0
4367.033486,-0.274009,867.646544,cluster0
4438.625372,-0.249242,843.526732,cluster0
4439.453223,-0.248018,842.980321,cluster0
41227.911658,0.996116,229.240814,cluster1
4192.954094,-0.333425,857.047824,cluster0
4455.272788,-0.093854,299.392657,cluster1
5297.167836,-0.295429,872.642341,cluster0
5148.532078,1.600529,37.108138,cluster1
51138.553429,1.746898,261.74273,cluster1
5308.51255,-0.291614,862.906261,cluster0
5648.176067,1.000394,85.587129,cluster1
5752.972381,1.530371,29.888738,cluster1
5350.513955,-0.280022,848.0922,cluster0
5267.915766,1.994329,17.08713,cluster1
5380.06985,-0.269904,850.172921,cluster0
51237.170993,1.0517,19.314897,cluster1
6519.67147,-0.051064,246.838042,cluster1
6232.750759,-0.167064,15.440684,cluster1
6243.230126,-0.315438,829.66561,cluster0
61300.311076,1.48861,12.853321,cluster1
6307.898342,-0.292571,862.986328,cluster0
6308.51255,-0.291614,862.906261,cluster0
61020.631473,0.556294,212.486958,cluster1
6211.024568,-0.325563,865.465953,cluster0
6243.074372,-0.315537,825.942051,cluster0
6456.195017,1.588698,18.884312,cluster1
796.026594,-0.402637,669.283941,cluster0
7535.96024,-0.062514,568.671751,cluster0
7427.801669,0.087084,260.830925,cluster1
7651.292857,0.358823,195.808754,cluster1
71237.170993,1.0517,19.314897,cluster1
7516.822314,-0.087705,1085.869702,cluster0
7500.107978,-0.198905,928.841237,cluster0
7626.39026,0.454364,11.047108,cluster1
7620.006855,0.432018,204.520099,cluster1
