@relation 'lines-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute rho numeric
@attribute theta numeric
@attribute length numeric
@attribute cluster {cluster1,cluster2}

@data

221.84915,1.563436,119.903547,cluster2
68.972909,-0.3304,1.559831,cluster1
223.161974,1.545582,49.793568,cluster2
332.957347,0.678479,171.939022,cluster2
27.126679,-0.767486,82.300964,cluster1
214.243393,1.587524,119.509168,cluster2
197.583066,1.563288,120.584545,cluster2
221.84915,1.563436,119.903547,cluster2
41.070376,-0.937921,158.62004,cluster1
216.913166,1.561447,120.059614,cluster2
239.684927,1.033577,5.968996,cluster2
89.63289,-0.710514,69.779199,cluster1
170.283511,0.340828,56.435277,cluster2
36.042216,-0.812871,64.818152,cluster1
90.939191,-0.840705,65.009249,cluster1
174.024978,1.943447,1.610473,cluster2
31.38395,-0.813982,65.704826,cluster1
249.917577,1.43064,1.434369,cluster2
174.024978,1.943447,1.610473,cluster2
6.452513,-0.75574,110.512051,cluster1
79.399362,-0.462685,0.797821,cluster1
175.105029,0.446891,116.250847,cluster2
202.545523,1.59069,96.248461,cluster2
189.79269,1.488196,1.569591,cluster2
210.840733,1.538808,196.2483,cluster2
274.361473,1.384054,4.73646,cluster2
79.399362,-0.462685,0.797821,cluster1
89.63289,-0.710514,69.779199,cluster1
184.514299,0.581716,190.072088,cluster2
119.410179,2.000868,2.229955,cluster2
216.913166,1.561447,120.059614,cluster2
102.642833,-0.161393,81.4976,cluster1
156.042919,-0.23346,89.347923,cluster1
189.79269,1.488196,1.569591,cluster2
196.422775,1.674247,2.143724,cluster2
90.939191,-0.840705,65.009249,cluster1
196.422775,1.674247,2.143724,cluster2
119.410179,2.000868,2.229955,cluster2
255.123566,1.447668,2.496593,cluster2
36.042216,-0.812871,64.818152,cluster1
205.570764,1.611155,300.951542,cluster2
331.998465,0.704861,1.974725,cluster2
228.446359,1.240558,2.671515,cluster2
178.341332,1.232057,2.09916,cluster2
220.37063,1.568877,111.810341,cluster2
223.161974,1.545582,49.793568,cluster2
178.341332,1.232057,2.09916,cluster2
188.86831,0.324981,158.469655,cluster2
192.184894,1.550013,253.146802,cluster2
164.146546,1.361178,130.786877,cluster2
77.194226,1.899424,4.45144,cluster2
79.520117,1.762668,83.846752,cluster2
77.194226,1.899424,4.45144,cluster2
235.949294,1.550669,22.603058,cluster2
224.095536,1.536615,12.33904,cluster2
82.225702,1.948848,128.612305,cluster2
220.353055,1.625179,159.273536,cluster2
78.746806,0.050068,12.476542,cluster1
331.998465,0.704861,1.974725,cluster2
156.451408,-0.405392,121.948996,cluster1
249.917577,1.43064,1.434369,cluster2
196.171765,-0.184345,107.366194,cluster1
181.303365,1.722462,43.544072,cluster2
81.567729,-0.627335,162.500595,cluster1
141.478445,1.774159,3.615926,cluster2
169.717572,1.804052,125.559279,cluster2
31.38395,-0.813982,65.704826,cluster1
191.398228,0.497622,22.197766,cluster2
79.520117,1.762668,83.846752,cluster2
0.832426,-0.508477,33.638787,cluster1
274.361473,1.384054,4.73646,cluster2
84.62421,1.938326,258.552929,cluster2
109.607241,1.797327,173.018535,cluster2
87.429221,-0.450138,90.304798,cluster1
19.045512,-0.506323,56.362987,cluster1
84.62421,1.938326,258.552929,cluster2
109.607241,1.797327,173.018535,cluster2
82.063561,2.004639,132.711687,cluster2
202.545523,1.59069,96.248461,cluster2
198.118265,1.55947,112.543581,cluster2
197.595259,1.561541,196.79235,cluster2
210.918604,1.55888,120.267099,cluster2
213.319608,0.468729,10.460427,cluster2
99.043189,2.103895,3.949896,cluster2
210.918604,1.55888,120.267099,cluster2
94.507507,1.929584,175.066603,cluster2
224.80342,0.648758,5.873094,cluster2
99.043189,2.103895,3.949896,cluster2
221.982769,1.559388,119.687705,cluster2
102.194804,1.911197,9.115281,cluster2
209.081096,1.570222,121.239675,cluster2
217.181253,1.560401,122.919774,cluster2
198.79614,1.032002,4.357587,cluster2
107.453941,2.135495,0.046675,cluster2
186.811001,1.821922,18.460997,cluster2
107.453941,2.135495,0.046675,cluster2
206.601107,1.562092,119.987516,cluster2
199.458496,1.660301,68.069517,cluster2
117.128783,1.841721,13.383315,cluster2
203.75388,1.581523,254.004603,cluster2
200.069664,1.605838,64.036427,cluster2
214.096104,1.560922,206.18449,cluster2
201.098404,1.535271,146.993413,cluster2
319.389806,0.207613,2.986543,cluster2
190.935104,1.649467,174.885322,cluster2
218.511746,1.55519,167.472848,cluster2
233.285936,1.444458,65.522204,cluster2
217.181253,1.560401,122.919774,cluster2
33.287894,-0.791614,1.216777,cluster1
188.394865,1.581652,197.099658,cluster2
211.283987,1.528316,177.209541,cluster2
190.935104,1.649467,174.885322,cluster2
232.198232,1.443256,78.669969,cluster2
203.812931,1.564188,119.956385,cluster2
298.317784,0.277545,2.210668,cluster2
214.096104,1.560922,206.18449,cluster2
203.812931,1.564188,119.956385,cluster2
207.493236,1.628922,83.333246,cluster2
208.5814,1.548399,187.678863,cluster2
3.851562,-1.05795,65.591746,cluster1
229.929793,1.218061,29.154671,cluster2
168.780666,1.79373,103.682722,cluster2
89.48433,1.706343,71.990711,cluster2
230.179267,1.544842,203.8779,cluster2
85.646891,-0.169299,54.834915,cluster1
165.864515,1.620014,122.731309,cluster2
222.466439,1.557101,120.009271,cluster2
335.135099,0.165164,1.13076,cluster2
226.259237,1.266612,105.277506,cluster2
46.039887,-0.694128,71.420583,cluster1
222.466439,1.557101,120.009271,cluster2
230.492267,1.54388,118.335315,cluster2
185.484864,1.640347,180.382256,cluster2
184.514295,0.581716,190.072088,cluster2
255.123566,1.447668,2.496593,cluster2
208.576372,1.371232,20.673548,cluster2
196.432603,-0.297177,11.079076,cluster1
211.670565,1.581744,145.318538,cluster2
196.24306,1.567767,195.099757,cluster2
33.287894,-0.791614,1.216777,cluster1
206.601107,1.562092,119.987516,cluster2
224.80342,0.648758,5.873094,cluster2
335.135099,0.165164,1.13076,cluster2
176.978602,1.684862,7.965183,cluster2
183.444933,1.701917,0.268425,cluster2
183.444933,1.701917,0.268425,cluster2
214.151543,1.484576,48.505001,cluster2
185.886361,1.74264,155.651932,cluster2
186.811001,1.821922,18.460997,cluster2
185.484864,1.640347,180.382256,cluster2
221.932165,1.558895,122.847827,cluster2
17.4985,-0.575589,4.112226,cluster1
85.646891,-0.169299,54.834915,cluster1
126.385219,1.843535,34.936033,cluster2
249.893162,1.332131,16.512599,cluster2
221.982769,1.559388,119.687705,cluster2
